year,title,IMDb ID
2019,Joker,tt7286456
2018,Roma,tt6155172
2017,The Shape of Water,tt5580390
2016,The Woman Who Left,tt5843990
2015,From Afar,tt4721400
2014,A Pigeon Sat on a Branch Reflecting on Existence,tt1883180
2013,Sacro GRA,tt3172520
2012,Pieta,tt2299842
2011,Faust,tt1437357
2010,Somewhere,tt1421051
2009,Lebanon,tt1483831
2008,The Wrestler,tt1125849
2007,"Lust, Caution",tt0808357
2006,Still Life,tt0859765
2005,Brokeback Mountain,tt0388795
2004,Vera Drake,tt0383694
2003,The Return,tt0376968
2002,The Magdalene Sisters,tt0318411
2001,Monsoon Wedding,tt0265343
2000,The Circle,tt0255094
1999,Not One Less,tt0209189
1998,Così ridevano,tt0139951
1997,Fireworks,tt0119250
1996,Michael Collins,tt0117039
1995,Cyclo,tt0112767
1994,Before the Rain,tt0110882
1993,Short Cuts,tt0108122
1992,The Story of Qiu Ju,tt0105197
1991,Close to Eden,tt0103176
1990,Rosencrantz & Guildenstern Are Dead,tt0100519
1989,A City of Sadness,tt0096908
1988,The Legend of the Holy Drinker,tt0095513
1987,Au Revoir les Enfants,tt0092593
1986,Summer,tt0091830
1985,Vagabond,tt0089960
1984,A Year of the Quiet Sun,tt0088009
1983,First Name: Carmen,tt0086153
1982,The State of Things,tt0084725
1981,Marianne & Juliane,tt0082081
1980,Atlantic City,tt0080388
1968,The Artist in the Circus Dome: Clueless,tt0062679
1967,Belle de jour,tt0061395
1966,The Battle of Algiers,tt0058946
1965,Sandra,tt0059856
1964,Red Desert,tt0058003
1963,Hands Over the City,tt0057286
1962,Family Portrait,tt0056966
1961,Last Year at Marienbad,tt0054632
1960,Tomorrow Is My Turn,tt0054161
1959,Il generale Della Rovere,tt0053856
1958,The Rickshaw Man,tt0051955
1957,Aparajito,tt0048956
1955,Ordet,tt0048452
1954,Romeo and Juliet,tt0047029
1952,Forbidden Games,tt0043686
1951,Rashomon,tt0042876
1950,Justice Is Done,tt0042625
1949,Manon,tt0041634
1948,Hamlet,tt0040416
1947,The Strike,tt0130261
1946,The Southerner,tt0038107
